source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Large/number/MvF,AgCensus2015-16,T14-16,All,Large,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,percent,SYNTHETIC,27.91,8.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Marginal/area/MvF,AgCensus2015-16,T14-16,All,Marginal,area,MvF,gender,men,women,2,0,0,2,diff,a,,,,percent,SYNTHETIC,50.93,26.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Marginal/number/MvF,AgCensus2015-16,T14-16,All,Marginal,number,MvF,gender,men,women,4,0,4,0,diff,a,,,,percent,SYNTHETIC,45.45,22.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Medium/area/MvF,AgCensus2015-16,T14-16,All,Medium,area,MvF,gender,men,women,3,0,0,3,diff,a,,,,percent,SYNTHETIC,42.56,31.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Medium/number/MvF,AgCensus2015-16,T14-16,All,Medium,number,MvF,gender,men,women,2,2,0,0,diff,a,,,,percent,SYNTHETIC,43.16,25.85,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Small/area/MvF,AgCensus2015-16,T14-16,All,Small,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,percent,SYNTHETIC,40.25,21.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/Small/number/MvF,AgCensus2015-16,T14-16,All,Small,number,MvF,gender,men,women,2,0,0,2,diff,a,,,,percent,SYNTHETIC,35.7,24.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,29.29,34.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,19.93,20.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,34.7,39.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,20.29,22.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,18.22,18.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,8.82,9.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,12.43,13.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 All/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,5,5,0,0,equal,c,,,,percent,SYNTHETIC,14.56,15.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Large/area/MvF,AgCensus2015-16,T14-16,SC,Large,area,MvF,gender,men,women,3,3,0,0,diff,a,,,,percent,SYNTHETIC,20.68,8.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
