source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Large/number/MvF,AgCensus2015-16,T14-16,All,Large,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,percent,SYNTHETIC,47.21,24.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Marginal/area/MvF,AgCensus2015-16,T14-16,All,Marginal,area,MvF,gender,men,women,2,0,0,2,diff,a,,,,percent,SYNTHETIC,77.91,48.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Marginal/number/MvF,AgCensus2015-16,T14-16,All,Marginal,number,MvF,gender,men,women,4,0,4,0,diff,a,,,,percent,SYNTHETIC,70.6,43.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Medium/area/MvF,AgCensus2015-16,T14-16,All,Medium,area,MvF,gender,men,women,3,0,0,3,diff,a,,,,percent,SYNTHETIC,66.75,55.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Medium/number/MvF,AgCensus2015-16,T14-16,All,Medium,number,MvF,gender,men,women,2,2,0,0,diff,a,,,,percent,SYNTHETIC,67.54,47.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Small/area/MvF,AgCensus2015-16,T14-16,All,Small,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,percent,SYNTHETIC,63.67,42.39,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/Small/number/MvF,AgCensus2015-16,T14-16,All,Small,number,MvF,gender,men,women,2,0,0,2,diff,a,,,,percent,SYNTHETIC,57.61,46.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,3,0,0,3,equal,c,,,,percent,SYNTHETIC,52.38,57.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,39.9,40.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,59.61,64.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
