bundle_id,panel_role,axis,original_condition,source_cell,source_reference,condition,prompt,expected_canonical,expected_display_letter,prompt_and_gold_sha256,review_status_pass_or_fail,reviewer_id,review_date_utc,review_notes
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,no_evidence,"According to the 2015-16 Agriculture Census in Andhra Pradesh, do Scheduled Castes or Scheduled Tribes operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,a577f57e613eb3037c10dc8c2becfa85bf067b93c4802f26ca676dbc062f772b,pass,P4R1,2026-09-18,No table or hints present; question is complete and unambiguous.
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percentage share (0-100)) |
|---|---|
| Scheduled Castes | 6.1719 |
| Scheduled Tribes | 5.3973 |
(denominator: All-social-groups total for Andhra Pradesh/All Classes/area=8004)
(source location: Tables 2-4, PDF pages 25,31,37)

According to the 2015-16 Agriculture Census in Andhra Pradesh, do Scheduled Castes or Scheduled Tribes operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,83a89012203e2907402b4367a22b547a4ccb6b47e03f4c4c978a847ab7df9ec8,pass,P4R1,2026-09-18,Table values plausible; denominator and source reference present; math verified correct.
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,synthetic_evidence,"HYPOTHETICAL TABLE (not real census data). Answer only about this table.
| group | value (percentage share (0-100)) |
|---|---|
| Scheduled Castes | 16.3973 |
| Scheduled Tribes | 5.3973 |
(denominator: hypothetical percentage scale; values are not census observations)

Using only the hypothetical table, which has the larger share—Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,a,79afee774be8bc4ff26c9e858e1f33cb185733ad54bd1ce0671eccaaf213ad80,pass,P4R1,2026-09-18,Hypothetical label present; values distinct from verified condition; canonical differs.
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,anonymised_verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percentage share (0-100)) |
|---|---|
| Group A | 6.1719 |
| Group B | 5.3973 |
(denominator: All-social-groups total for Andhra Pradesh/All Classes/area=8004)
(source location: Tables 2-4, PDF pages 25,31,37)
(Group A and Group B are anonymous labels used consistently.)

According to the 2015-16 Agriculture Census in Andhra Pradesh, do Group A or Group B operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Group A
b) Group B
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,c8a6c9eaa1c440698ea2072b4ecdad26f71463cafd19a1efaf021cff29396f56,pass,P4R1,2026-09-18,Group A/B labels used consistently in table; entity names appear only in question context (acceptable) and denominator line but NOT in table data rows.
B002,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,no_evidence,"In Andhra Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Roughly equal
b) Scheduled Tribes
c) Scheduled Castes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,a,727195429c3b024f791ddcee362b9562a5b3120d5a3c2ad427938263ccf7e6c4,pass,P4R1,2026-09-18,No table or hints present; question is complete and unambiguous.
B002,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percentage share (0-100)) |
|---|---|
| Scheduled Castes | 4.8052 |
| Scheduled Tribes | 5.4545 |
(denominator: All-social-groups total for Andhra Pradesh/Semi-medium/number=770)
(source location: Tables 2-4, PDF pages 28,34,40)

In Andhra Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Roughly equal
b) Scheduled Tribes
c) Scheduled Castes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,a,c2bce511645d586e673cd7baed8f479f7685d61220022c52e85bfba5b240c1b0,pass,P4R1,2026-09-18,Table values plausible; denominator and source reference present; math verified correct.
B002,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,synthetic_evidence,"HYPOTHETICAL TABLE (not real census data). Answer only about this table.
| group | value (percentage share (0-100)) |
|---|---|
| Scheduled Castes | 16.4545 |
| Scheduled Tribes | 5.4545 |
(denominator: hypothetical percentage scale; values are not census observations)

Using only the hypothetical table, which has the larger share—Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Roughly equal
b) Scheduled Tribes
c) Scheduled Castes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,c,c01e88a76a4d774cbc8c45c6af8654b800f190fdb163cb5a4bdef30dc3de806c,pass,P4R1,2026-09-18,Hypothetical label present; values distinct from verified condition; canonical differs.
B002,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,anonymised_verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percentage share (0-100)) |
|---|---|
| Group A | 4.8052 |
| Group B | 5.4545 |
(denominator: All-social-groups total for Andhra Pradesh/Semi-medium/number=770)
(source location: Tables 2-4, PDF pages 28,34,40)
(Group A and Group B are anonymous labels used consistently.)

In Andhra Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Group A, Group B, or are the two roughly equal?
a) Roughly equal
b) Group B
c) Group A
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,a,df18d88a95a2e57429c1e2bf369688d0a51f0bea40578058e60b45e84cb98cf1,pass,P4R1,2026-09-18,Group A/B labels used consistently in table; entity names appear only in question context (acceptable) and denominator line but NOT in table data rows.
B003,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,no_evidence,"In Andhra Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of small operated area — Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Scheduled Tribes
b) Roughly equal
c) Scheduled Castes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,b,4d30bff7c9b1bc863b5f29dee732d42b1bb16d391e14a065995cecc97e732434,pass,P4R1,2026-09-18,No table or hints present; question is complete and unambiguous.
B003,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percentage share (0-100)) |
|---|---|
| Scheduled Castes | 6.6838 |
| Scheduled Tribes | 5.2699 |
(denominator: All-social-groups total for Andhra Pradesh/Small/area=2334)
(source location: Tables 2-4, PDF pages 27,33,39)

In Andhra Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of small operated area — Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Scheduled Tribes
b) Roughly equal
c) Scheduled Castes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,b,6849cf09c66b1929169fd5538c44142e0f5dcb1bbe8165630bdb384253e3d0ab,pass,P4R1,2026-09-18,Table values plausible; denominator and source reference present; math verified correct.
