bundle_id,panel_role,axis,original_condition,source_cell,source_reference,condition,prompt,expected_canonical,expected_display_letter,prompt_and_gold_sha256,review_status_pass_or_fail,reviewer_id,review_date_utc,review_notes
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,,no_evidence,"According to the 2015-16 Agriculture Census in Andhra Pradesh, do Scheduled Castes or Scheduled Tribes operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,a577f57e613eb3037c10dc8c2becfa85bf067b93c4802f26ca676dbc062f772b,,,,
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percent) |
|---|---|
| Scheduled Castes | 26.15 |
| Scheduled Tribes | 26.4 |
(denominator: SYNTHETIC)
(source location: recorded in the evidence ledger)

According to the 2015-16 Agriculture Census in Andhra Pradesh, do Scheduled Castes or Scheduled Tribes operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,be024718a1dec499eed244f47392f60c8631becebcc7d163fb18a4628dc7dfc1,,,,
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,,synthetic_evidence,"HYPOTHETICAL TABLE (not real census data). Answer only about this table.
| group | value (percent) |
|---|---|
| Scheduled Castes | 37.4 |
| Scheduled Tribes | 26.4 |
(denominator: hypothetical percentage scale; values are not census observations)

Using only the hypothetical table, which has the larger share—Scheduled Castes, Scheduled Tribes, or are the two roughly equal?
a) Scheduled Castes
b) Scheduled Tribes
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,a,1c8beca4e796d197960b9db26aa892e85e46d87755b994ec1f4e34ad6e37116f,,,,
B001,main,social_group,equal,AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,,anonymised_verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percent) |
|---|---|
| Group A | 26.15 |
| Group B | 26.4 |
(denominator: SYNTHETIC)
(source location: recorded in the evidence ledger)
(Group A and Group B are anonymous labels used consistently.)

According to the 2015-16 Agriculture Census in Andhra Pradesh, do Group A or Group B operate a larger portion of the agricultural operated area, or are the two roughly equal?
a) Group A
b) Group B
c) Roughly equal
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,c,f7ae2c3ec9012073c79f37ab282ddfc45acf04fee1c71ef94f39bfb174e88289,,,,
B002,main,social_group,diff,AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,,no_evidence,"In Arunachal Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Scheduled Tribes, Other social groups, or are the two roughly equal?
a) Other social groups
b) Roughly equal
c) Scheduled Tribes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,c,744ac8ca543770f95b2b2174b6c0fb343641b0cb36197266c579558c821ca2a5,,,,
B002,main,social_group,diff,AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percent) |
|---|---|
| Scheduled Tribes | 52.19 |
| Other social groups | 31.83 |
(denominator: SYNTHETIC)
(source location: recorded in the evidence ledger)

In Arunachal Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Scheduled Tribes, Other social groups, or are the two roughly equal?
a) Other social groups
b) Roughly equal
c) Scheduled Tribes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,c,4448bd612dbb2c48824da1e2f3acfcf8b2a1ba696a9d016bf482f398af6b7121,,,,
B002,main,social_group,diff,AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,,synthetic_evidence,"HYPOTHETICAL TABLE (not real census data). Answer only about this table.
| group | value (percent) |
|---|---|
| Scheduled Tribes | 31.83 |
| Other social groups | 52.19 |
(denominator: hypothetical percentage scale; values are not census observations)

Using only the hypothetical table, which has the larger share—Scheduled Tribes, Other social groups, or are the two roughly equal?
a) Other social groups
b) Roughly equal
c) Scheduled Tribes
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",b,a,64ef42ae6578093ac9bf8b8c628476102d7c84fa8a7088fa8c5be6ba28a917f9,,,,
B002,main,social_group,diff,AgCensus2015-16 T2-4 Arunachal Pradesh/Semi-medium/number/STvsOthers,,anonymised_verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percent) |
|---|---|
| Group A | 52.19 |
| Group B | 31.83 |
(denominator: SYNTHETIC)
(source location: recorded in the evidence ledger)
(Group A and Group B are anonymous labels used consistently.)

In Arunachal Pradesh, according to the 2015-16 Agriculture Census, which social group operates a larger share of semi-medium holdings — Group A, Group B, or are the two roughly equal?
a) Group B
b) Roughly equal
c) Group A
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",a,c,cd07052649f9b0af359e27bcf430ca0e77d156e8c4ce7364479ead347621d422,,,,
B003,main,landholding,equal,AgCensus2015-16 T2-4 Punjab/SC/area/SmallvsLarge,,no_evidence,"Based on the 2015-16 Agriculture Census in Punjab, among Scheduled Castes, does the small operated area or the large operated area account for a larger share of operated area, or are the two roughly equal?
a) small operated area
b) Roughly equal
c) large operated area
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,b,f214e0cf3b704b462fee1ed40ddfa7f53a338f2e72d6c7ceda0a5f3b2d71100e,,,,
B003,main,landholding,equal,AgCensus2015-16 T2-4 Punjab/SC/area/SmallvsLarge,,verified_evidence,"Table (2015-16 Agriculture Census).
| group | value (percent) |
|---|---|
| small operated area | 14.57 |
| large operated area | 16.58 |
(denominator: SYNTHETIC)
(source location: recorded in the evidence ledger)

Based on the 2015-16 Agriculture Census in Punjab, among Scheduled Castes, does the small operated area or the large operated area account for a larger share of operated area, or are the two roughly equal?
a) small operated area
b) Roughly equal
c) large operated area
Reply with JSON only: {""answer_choice_letter"": ""<a|b|c>""}",c,b,40c8e82db8835c415e2e5f73afb0397bbe2b754e7535f7e289920b758e66cebf,,,,
