tier,method,seed,duplicate_ids,unknown_ids,missing_ids,records,expected_scope
broad-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
broad-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
broad-instruct,ablation_placement_random_draw2,42,0,0,0,749,full_test
broad-instruct,ablation_placement_random_draw3,42,0,0,0,749,full_test
broad-instruct,ablation_placement_random,42,0,0,0,749,full_test
broad-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
broad-instruct,ablation_rank_sweep_16,42,0,0,0,749,full_test
broad-instruct,ablation_rank_sweep_32,42,0,0,0,749,full_test
broad-instruct,ablation_rank_sweep_8,42,0,0,0,749,full_test
broad-instruct,baseline_dart,42,0,0,0,749,full_test
broad-instruct,baseline_dart,43,0,0,0,749,full_test
broad-instruct,baseline_dart,44,0,0,0,749,full_test
broad-instruct,baseline_fairnet,42,0,0,0,749,full_test
broad-instruct,baseline_fairnet,43,0,0,0,749,full_test
broad-instruct,baseline_fairnet,44,0,0,0,749,full_test
broad-instruct,baseline_fairsteer,42,0,0,0,749,full_test
broad-instruct,baseline_igu_lora,42,0,0,0,749,full_test
broad-instruct,baseline_lftf,42,0,0,0,749,full_test
broad-instruct,baseline_pedal,42,0,0,0,749,full_test
broad-instruct,baseline_regift,42,0,0,0,749,full_test
broad-instruct,frozen_base,42,0,0,0,749,full_test
broad-instruct,graft_proposed_loao_gender,42,0,0,0,70,held_out_axis
broad-instruct,graft_proposed_loao_landholding,42,0,0,0,315,held_out_axis
broad-instruct,graft_proposed_loao_social_group,42,0,0,0,364,held_out_axis
broad-instruct,graft_proposed_qlora_nf4,42,0,0,0,749,full_test
broad-instruct,graft_proposed,42,0,0,0,749,full_test
broad-instruct,graft_proposed,43,0,0,0,749,full_test
broad-instruct,graft_proposed,44,0,0,0,749,full_test
broad-instruct,reference_vanilla_lora_loao_gender,42,0,0,0,70,held_out_axis
broad-instruct,reference_vanilla_lora_loao_landholding,42,0,0,0,315,held_out_axis
broad-instruct,reference_vanilla_lora_loao_social_group,42,0,0,0,364,held_out_axis
broad-instruct,reference_vanilla_lora,42,0,0,0,749,full_test
broad-instruct,reference_vanilla_lora,43,0,0,0,749,full_test
broad-instruct,reference_vanilla_lora,44,0,0,0,749,full_test
broad-instruct,reference_vanilla_qlora,42,0,0,0,749,full_test
general-instruct-2,ablation_no_condition_adaptive,42,0,0,0,749,full_test
general-instruct-2,ablation_no_rationale_loss,42,0,0,0,749,full_test
general-instruct-2,ablation_placement_random_draw2,42,0,0,0,749,full_test
general-instruct-2,ablation_placement_random_draw3,42,0,0,0,749,full_test
general-instruct-2,ablation_placement_random,42,0,0,0,749,full_test
general-instruct-2,ablation_placement_uniform,42,0,0,0,749,full_test
general-instruct-2,ablation_rank_sweep_16,42,0,0,0,749,full_test
general-instruct-2,ablation_rank_sweep_32,42,0,0,0,749,full_test
general-instruct-2,ablation_rank_sweep_8,42,0,0,0,749,full_test
general-instruct-2,baseline_dart,42,0,0,0,749,full_test
general-instruct-2,baseline_dart,43,0,0,0,749,full_test
general-instruct-2,baseline_dart,44,0,0,0,749,full_test
general-instruct-2,baseline_fairnet,42,0,0,0,749,full_test
general-instruct-2,baseline_fairnet,43,0,0,0,749,full_test
general-instruct-2,baseline_fairnet,44,0,0,0,749,full_test
general-instruct-2,baseline_fairsteer,42,0,0,0,749,full_test
general-instruct-2,baseline_igu_lora,42,0,0,0,749,full_test
general-instruct-2,baseline_lftf,42,0,0,0,749,full_test
general-instruct-2,baseline_pedal,42,0,0,0,749,full_test
general-instruct-2,baseline_regift,42,0,0,0,749,full_test
general-instruct-2,frozen_base,42,0,0,0,749,full_test
general-instruct-2,graft_proposed_loao_gender,42,0,0,0,70,held_out_axis
general-instruct-2,graft_proposed_loao_landholding,42,0,0,0,315,held_out_axis
general-instruct-2,graft_proposed_loao_social_group,42,0,0,0,364,held_out_axis
general-instruct-2,graft_proposed_qlora_nf4,42,0,0,0,749,full_test
general-instruct-2,graft_proposed,42,0,0,0,749,full_test
general-instruct-2,graft_proposed,43,0,0,0,749,full_test
general-instruct-2,graft_proposed,44,0,0,0,749,full_test
general-instruct-2,reference_vanilla_lora_loao_gender,42,0,0,0,70,held_out_axis
general-instruct-2,reference_vanilla_lora_loao_landholding,42,0,0,0,315,held_out_axis
general-instruct-2,reference_vanilla_lora_loao_social_group,42,0,0,0,364,held_out_axis
general-instruct-2,reference_vanilla_lora,42,0,0,0,749,full_test
general-instruct-2,reference_vanilla_lora,43,0,0,0,749,full_test
general-instruct-2,reference_vanilla_lora,44,0,0,0,749,full_test
general-instruct-2,reference_vanilla_qlora,42,0,0,0,749,full_test
general-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
general-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
general-instruct,ablation_placement_random_draw2,42,0,0,0,749,full_test
